2.24	0.06	0.003
4.41	0.08	0.004
14.51	0.15	0.007
21.82	0.25	0.009
22.99	0.3	0.014
24.5	0.4	0.02
25.23	0.52	0.04
25.65	0.6	0.03
26.07	0.72	0.05
26.33	0.8	0.05
26.73	1	0.06
27.24	1.2	0.06
27.72	1.4	0.07
28.12	1.6	0.07
28.66	1.8	0.07
29.09	2	0.08
29.48	2.2	0.12
29.89	2.4	0.12
30.3	2.6	0.13
30.67	2.8	0.13
31.16	3	0.13
31.5	3.2	0.14
31.89	3.4	0.14
32.38	3.6	0.15
32.77	3.8	0.15
33.08	4	0.16
